segment_idx,start_s,duration_s,mean_activation,std_activation,max_activation,min_activation,n_vertices
0,0.0,1.0,-0.02210371010005474,0.051273804157972336,0.12182965129613876,-0.2730964422225952,20484
1,1.0,1.0,-0.027290521189570427,0.05845646560192108,0.15933465957641602,-0.28197377920150757,20484
2,2.0,1.0,-0.02135375514626503,0.05740898847579956,0.1589384227991104,-0.25826728343963623,20484
3,3.0,1.0,-0.030314309522509575,0.05952414125204086,0.16517899930477142,-0.2719854414463043,20484
4,4.0,1.0,-0.027359765022993088,0.06401894986629486,0.17943860590457916,-0.30757707357406616,20484
5,5.0,1.0,-0.02588459476828575,0.07039101421833038,0.206315815448761,-0.3290863037109375,20484
6,6.0,1.0,-0.029544448480010033,0.07478748261928558,0.19787374138832092,-0.3721191883087158,20484
7,7.0,1.0,-0.027712326496839523,0.0747402235865593,0.23257233202457428,-0.35935014486312866,20484
8,8.0,1.0,-0.022745613008737564,0.07545305043458939,0.21463952958583832,-0.36187922954559326,20484
9,9.0,1.0,-0.033887799829244614,0.08234449476003647,0.20561090111732483,-0.4186103641986847,20484
10,10.0,1.0,-0.03365769982337952,0.08157390356063843,0.20008841156959534,-0.41388633847236633,20484
11,11.0,1.0,-0.041883163154125214,0.08571503311395645,0.19354486465454102,-0.4596162438392639,20484
12,12.0,1.0,-0.03656914830207825,0.0880066305398941,0.19941779971122742,-0.4691275656223297,20484
13,13.0,1.0,-0.026761222630739212,0.09010432660579681,0.21933147311210632,-0.4279583692550659,20484
14,14.0,1.0,-0.021809589117765427,0.09009895473718643,0.2282782644033432,-0.39491647481918335,20484
15,15.0,1.0,-0.01104679238051176,0.09037936478853226,0.2348904013633728,-0.38442516326904297,20484
16,16.0,1.0,-0.012335006147623062,0.08776239305734634,0.21825525164604187,-0.40149766206741333,20484
17,17.0,1.0,0.0016041046474128962,0.08233663439750671,0.22058317065238953,-0.3429069221019745,20484
18,18.0,1.0,-0.00022192062169779092,0.08083780854940414,0.22756755352020264,-0.34307801723480225,20484
19,19.0,1.0,-0.004964485298842192,0.08003588765859604,0.226074680685997,-0.3319532573223114,20484
20,20.0,1.0,-0.0038111608009785414,0.08421655744314194,0.2472381591796875,-0.33903980255126953,20484
21,21.0,1.0,0.0008146087056957185,0.07566487789154053,0.24101468920707703,-0.333889365196228,20484
22,22.0,1.0,0.000740976189263165,0.07217181473970413,0.23486071825027466,-0.32499054074287415,20484
23,23.0,1.0,0.004940469283610582,0.06595680862665176,0.21409887075424194,-0.2965371906757355,20484
24,24.0,1.0,0.008377018384635448,0.06321477144956589,0.21319177746772766,-0.29329466819763184,20484
25,25.0,1.0,0.008824845775961876,0.06360004842281342,0.20493003726005554,-0.2977325916290283,20484
26,26.0,1.0,0.010264798067510128,0.0638999417424202,0.21416710317134857,-0.2876511812210083,20484
27,27.0,1.0,0.013389612548053265,0.06358420103788376,0.2171018123626709,-0.2840280532836914,20484
28,28.0,1.0,0.011982347816228867,0.06497300416231155,0.21936680376529694,-0.29126349091529846,20484
29,29.0,1.0,0.01501388754695654,0.06037582457065582,0.21750590205192566,-0.2862660884857178,20484
30,30.0,1.0,0.014901031740009785,0.05283438414335251,0.19998463988304138,-0.2306353747844696,20484
31,31.0,1.0,0.019899828359484673,0.05523909255862236,0.2293437123298645,-0.22209692001342773,20484
32,32.0,1.0,0.028594832867383957,0.04939473047852516,0.22050166130065918,-0.180490642786026,20484
33,33.0,1.0,0.040791504085063934,0.04733452573418617,0.22056877613067627,-0.16430212557315826,20484
34,34.0,1.0,0.03528663516044617,0.04735292121767998,0.18388327956199646,-0.18192090094089508,20484
