segment_idx,start_s,duration_s,mean_activation,std_activation,max_activation,min_activation,n_vertices
0,0.0,1.0,0.004223720636218786,0.07949751615524292,0.2149331420660019,-0.31259632110595703,20484
1,1.0,1.0,0.005246921442449093,0.11152174323797226,0.3583454489707947,-0.44900059700012207,20484
2,2.0,1.0,0.00764350825920701,0.11900382488965988,0.41626206040382385,-0.514549195766449,20484
3,3.0,1.0,-0.0023444429971277714,0.11286110430955887,0.3167518973350525,-0.48690932989120483,20484
4,4.0,1.0,-0.0017169656930491328,0.11334347724914551,0.3275092840194702,-0.4914640188217163,20484
5,5.0,1.0,-0.0015378715470433235,0.13941888511180878,0.40020716190338135,-0.5985797643661499,20484
6,6.0,1.0,0.0033483142033219337,0.14747366309165955,0.45563703775405884,-0.6361129283905029,20484
7,7.0,1.0,0.007543395273387432,0.1442703902721405,0.4609783887863159,-0.6025873422622681,20484
8,8.0,1.0,0.007079318165779114,0.14062033593654633,0.43800902366638184,-0.6145740151405334,20484
9,9.0,1.0,0.006672306451946497,0.1548086404800415,0.48657408356666565,-0.6866013407707214,20484
10,10.0,1.0,0.0072211637161672115,0.15464289486408234,0.4615935981273651,-0.6891106367111206,20484
11,11.0,1.0,-0.0026515843346714973,0.029977930709719658,0.09458626806735992,-0.12467111647129059,20484
12,12.0,1.0,-0.003123529953882098,0.036328621208667755,0.16081446409225464,-0.1672024428844452,20484
13,13.0,1.0,-0.0032557311933487654,0.02988683059811592,0.09838515520095825,-0.1261962354183197,20484
14,14.0,1.0,0.0006448515923693776,0.027924934402108192,0.1075897067785263,-0.11733034998178482,20484
15,15.0,1.0,-0.006861396599560976,0.03201807662844658,0.12603972852230072,-0.1353842318058014,20484
16,16.0,1.0,0.0003044235927518457,0.02929970994591713,0.1351449340581894,-0.10871754586696625,20484
17,17.0,1.0,-0.0018127267248928547,0.027205340564250946,0.13792075216770172,-0.10041306912899017,20484
18,18.0,1.0,0.00029198138508945704,0.026851287111639977,0.15789589285850525,-0.09284766018390656,20484
19,19.0,1.0,-0.0080862520262599,0.030964184552431107,0.14028257131576538,-0.10373750329017639,20484
20,20.0,1.0,-0.002094229683279991,0.0287459846585989,0.138929545879364,-0.1049647331237793,20484
21,21.0,1.0,-0.004122091922909021,0.028538797050714493,0.14793962240219116,-0.10410706698894501,20484
22,22.0,1.0,0.0009504808695055544,0.02428232692182064,0.1153193861246109,-0.0998593121767044,20484
23,23.0,1.0,-0.005502506624907255,0.029192788526415825,0.1393621861934662,-0.10261376202106476,20484
24,24.0,1.0,0.0010768953943625093,0.021919438615441322,0.1020636111497879,-0.0765916109085083,20484
25,25.0,1.0,-0.0012234938330948353,0.022128527984023094,0.09097583591938019,-0.09349175542593002,20484
26,26.0,1.0,0.001511895563453436,0.025159163400530815,0.14332306385040283,-0.09110083431005478,20484
27,27.0,1.0,0.003530078800395131,0.027737610042095184,0.17250826954841614,-0.08409841358661652,20484
28,28.0,1.0,0.003353491425514221,0.026247471570968628,0.13517050445079803,-0.10912607610225677,20484
29,29.0,1.0,0.01002912875264883,0.029885420575737953,0.1427183747291565,-0.14729243516921997,20484
30,30.0,1.0,0.0063642035238444805,0.02000768482685089,0.09573927521705627,-0.0739322304725647,20484
31,31.0,1.0,-0.0002481100964359939,0.02224566787481308,0.09355685859918594,-0.09371942281723022,20484
32,32.0,1.0,0.0047511449083685875,0.02612372860312462,0.10678893327713013,-0.1272622048854828,20484
33,33.0,1.0,0.00046554708387702703,0.02677007205784321,0.09790797531604767,-0.15133529901504517,20484
34,34.0,1.0,-0.007508080452680588,0.025018205866217613,0.09728360921144485,-0.14889240264892578,20484
